Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,Sinit,Cmic14,CO214
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,0,9.34968523115472,33.3055786844296,0,0
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,1,9.34968523115472,33.3055786844296,,0
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,4,9.34968523115472,33.3055786844296,,1.34691678503207
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,7,9.34968523115472,33.3055786844296,2.5562809808026,2.32649262869178
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,9,9.34968523115472,33.3055786844296,,2.81628055052162
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,12,9.34968523115472,33.3055786844296,,3.42851545280893
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,14,9.34968523115472,33.3055786844296,2.55628098080261,3.91830337463878
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,19,9.34968523115472,33.3055786844296,,4.89787921829847
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,23,9.34968523115472,33.3055786844296,,5.51011412058578
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,27,9.34968523115472,33.3055786844296,,5.99990204241563
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,33,9.34968523115472,33.3055786844296,,6.48968996424548
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,48,9.34968523115472,33.3055786844296,,7.7141597688201
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,60,9.34968523115472,33.3055786844296,1.47073700265355,8.20394769064995
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,71,9.34968523115472,33.3055786844296,,8.57128863202233
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,90,9.34968523115472,33.3055786844296,,9.30597051476711
Blagodatskaya et al. 2014,Loam gleyic cambisol ,Cellulose,,5.1,2.1,0.21,103,9.34968523115472,33.3055786844296,1.50575455033578,9.55086447568203
