Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,Sinit,Cmic14,S,CO2cumul
"Chander and Brookes, 1991",Loamy sand,Glucose,9.00,7.06,1.25,0.13,0,6.61562995981284,71.3775874375446,0,,0
"Chander and Brookes, 1991",Loamy sand,Glucose,9.00,7.06,2.25,0.13,2,6.61562995981284,71.3775874375446,,,27.7862751096156
"Chander and Brookes, 1991",Loamy sand,Glucose,9.00,7.06,1.25,0.13,5,6.61562995981284,71.3775874375446,4.95377174372697,,33.0546208490534
"Chander and Brookes, 1991",Loamy sand,Glucose,9.00,7.06,1.25,0.13,10,6.61562995981284,71.3775874375446,3.79219767968065,,36.1986336290405
"Chander and Brookes, 1991",Loamy sand,Glucose,9.00,7.06,1.25,0.13,25,6.61562995981284,71.3775874375446,2.80144333093525,,39.2576730906495
"Chander and Brookes, 1991",Loamy sand,Glucose,9.00,7.06,1.25,0.13,50,6.61562995981284,71.3775874375446,2.07261254565128,,42.1467659155025
"Chander and Brookes, 1991",Loamy sand,Maize,9.00,7.06,1.25,0.13,0,6.61562995981284,71.3775874375446,0,,0
"Chander and Brookes, 1991",Loamy sand,Maize,9.00,7.06,1.25,0.13,2,6.61562995981284,71.3775874375446,,,9.17711838482715
"Chander and Brookes, 1991",Loamy sand,Maize,9.00,7.06,1.25,0.13,5,6.61562995981284,71.3775874375446,3.67347440662885,,20.2115107284884
"Chander and Brookes, 1991",Loamy sand,Maize,9.00,7.06,1.25,0.13,10,6.61562995981284,71.3775874375446,3.37651689471574,,28.4053664292269
"Chander and Brookes, 1991",Loamy sand,Maize,9.00,7.06,1.25,0.13,25,6.61562995981284,71.3775874375446,2.78260187088952,,33.3216798496701
"Chander and Brookes, 1991",Loamy sand,Maize,9.00,7.06,1.25,0.13,50,6.61562995981284,71.3775874375446,1.79274349784582,,36.8177249486518
"Chander and Brookes, 1991",Loamy sand,Maize,9.00,7.06,1.25,0.13,75,6.61562995981284,71.3775874375446,1.48478755956555,,38.2379932701132
"Chander and Brookes, 1991",Loamy sand,Maize,9.00,7.06,1.25,0.13,100,6.61562995981284,71.3775874375446,1.15483476855098,,39.7675130009177
